;EVI;NDVI;millis;sur_refl_b01;sur_refl_b02;sur_refl_b03;sur_refl_b07;system:index;Timestamp;Year;Month;Day;DOY
0;4297.3007518796985;0.6457045112781954;950832000000;758.4887218045112;3395.864661654135;359.0902255639097;1192.6691729323309;2000_02_18;2000-02-18;2000;2;18;49
1;3417.6090225563908;0.6021488721804511;952214400000;644.8872180451127;2598.451127819548;290.54135338345867;1959.518796992481;2000_03_05;2000-03-05;2000;3;5;65
2;3242.481203007518;0.5182390977443608;953596800000;934.4135338345864;2944.8270676691723;406.9624060150376;1194.3609022556388;2000_03_21;2000-03-21;2000;3;21;81
3;2605.6992481203006;0.48801954887218035;954979200000;791.4736842105262;2301.751879699248;342.36090225563913;1536.315789473684;2000_04_06;2000-04-06;2000;4;6;97
4;2322.187969924812;0.44500676691729324;956361600000;855.9999999999999;2229.9774436090224;343.7067669172932;1230.9624060150375;2000_04_22;2000-04-22;2000;4;22;113
5;2222.721804511278;0.40078872180451125;957744000000;1001.8721804511276;2342.661654135338;437.36842105263156;1742.1428571428569;2000_05_08;2000-05-08;2000;5;8;129
6;1852.9473684210527;0.32753834586466163;959126400000;1199.894736842105;2368.8345864661646;506.95488721804503;1450.3984962406012;2000_05_24;2000-05-24;2000;5;24;145
7;1408.4736842105262;0.26247969924812026;960508800000;1246.5413533834585;2131.300751879699;523.8947368421051;1892.834586466165;2000_06_09;2000-06-09;2000;6;9;161
8;1453.9924812030072;0.2827556390977443;961891200000;1137.0601503759397;2035.2255639097743;456.90225563909775;1147.5338345864661;2000_06_25;2000-06-25;2000;6;25;177
9;1310.9699248120298;0.25048721804511276;963273600000;1240.8120300751877;2071.2781954887214;493.09022556390977;2326.548872180451;2000_07_11;2000-07-11;2000;7;11;193
10;1271.9548872180449;0.22918646616541355;964656000000;1388.5714285714282;2213.3909774436083;578.3157894736842;2476.2105263157887;2000_07_27;2000-07-27;2000;7;27;209
11;1264.2330827067667;0.22361052631578945;966038400000;1439.3533834586462;2268.578947368421;602.1954887218044;2478.9624060150377;2000_08_12;2000-08-12;2000;8;12;225
12;1335.375939849624;0.22888045112781952;967420800000;1507.8496240601503;2402.3834586466164;628.015037593985;2618.3458646616536;2000_08_28;2000-08-28;2000;8;28;241
13;1651.8421052631577;0.27947142857142854;968803200000;1447.3082706766916;2549.488721804511;599.8270676691728;2148.270676691729;2000_09_13;2000-09-13;2000;9;13;257
14;1788.5413533834585;0.2871210526315789;970185600000;1533.8045112781954;2757.4586466165406;639.6165413533834;2641.6541353383454;2000_09_29;2000-09-29;2000;9;29;273
15;2386.06015037594;0.4121857142857142;971568000000;1046.157894736842;2512.428571428571;456.52631578947364;2293.4060150375935;2000_10_15;2000-10-15;2000;10;15;289
16;3041.360902255639;0.5049684210526315;972950400000;893.1654135338346;2716.2932330827066;412.27067669172925;1712.1127819548872;2000_10_31;2000-10-31;2000;10;31;305
17;3053.225563909774;0.47466165413533834;974332800000;1071.894736842105;3009.7969924812032;477.0300751879698;2096.5413533834585;2000_11_16;2000-11-16;2000;11;16;321
18;3475.353383458646;0.5431353383458646;975715200000;905.8421052631577;3059.7218045112777;400.16541353383457;1595.4511278195487;2000_12_02;2000-12-02;2000;12;2;337
19;3354.2330827067667;0.5376390977443609;977097600000;875.0375939849624;2912.2706766917286;397.69924812030075;1692.0902255639096;2000_12_18;2000-12-18;2000;12;18;353
20;3189.721804511278;0.5212142857142856;978307200000;890.9774436090225;2831.157894736842;395.54887218045104;1729.7443609022553;2001_01_01;2001-01-01;2001;1;1;1
21;2592.6390977443607;0.4765518796992481;979689600000;834.8195488721805;2355.067669172932;360.9398496240601;1588.0375939849623;2001_01_17;2001-01-17;2001;1;17;17
22;2227.1052631578946;0.3960293233082707;981072000000;1051.6390977443607;2431.1353383458645;435.0526315789473;1978.3383458646613;2001_02_02;2001-02-02;2001;2;2;33
